original_url,guid,brand,model,price_cash,price_financed,kilometros,registration_year,fuel_type,engine_cv,transmission,condition,body_type,traction,seats,co2_class_combined,images
https://www.autofer.com/coches/segunda-mano/madrid/renault/clio/gasolina/1-0-tce-90cv-intens/1062915/,0cae0f897759a5482f381850be0a4429,Renault,Clio 1.0 TCe 90cv Intens,13.990,11.990,44.705,2021,Gasolina,90,Manual,Segunda Mano,Berlina con portón,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/lm44tIQwmEt9xzfZ.jpg
https://www.autofer.com/coches/segunda-mano/madrid/renault/austral/gasolina/e-tech-full-hybrid-200cv-evolution/1056593/,599cb751fa0424119b2e2acd9c8bb890,Renault,Austral E-Tech Full Hybrid 200cv Evolution,33.000,30.000,40,2025,Gasolina,200,Autoático,Segunda Mano,Todoterreno,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/bQwW5bjb7mnaO3YX.jpg
https://www.autofer.com/coches/segunda-mano/madrid/renault/arkana/gasolina/1-3-tce-140cv-edc-microhibrido-zen/1038292/,8a2aaf2bec74fa15e204f507c6cb674d,Renault,Arkana 1.3 TCe 140cv EDC Microhíbrido Zen,20.990,18.990,79.245,2021,Gasolina,140,Autoático,Segunda Mano,Todoterreno,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/6SqT2wDdWzm9PHev.jpg
https://www.autofer.com/coches/segunda-mano/madrid/dacia/sandero-stepway/gasolina/0-9-tce-90cv-stepway-comfort/1000546/,061020c20d224ef22cced193d7dbaaa7,Dacia,Sandero Stepway 0.9 TCE 90cv Stepway Cofort,15.190,13.490,60.670,2021,Gasolina,90,Manual,Segunda Mano,Berlina con portón,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/dKdLMYKGGRvRgU91.jpg
https://www.autofer.com/coches/segunda-mano/madrid/dacia/duster/hibrido/1-0-tce-100cv-glp-4x2-sl-aniversario/1011551/,50d58272c409be29a3137c6b857982b0,Dacia,Duster 1.0 TCE 100cv GP 4X2 S Aniversario,18.190,16.190,65.585,2021,Híbrido,100,Manual,Segunda Mano,Todoterreno,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/bjDzTPCUcXhxEo4w.jpg
https://www.autofer.com/coches/segunda-mano/madrid/dacia/sandero-stepway/gasolina/1-0-tce-90cv-stepway-expression/1036354/,3efff7b25bc0934c5550e5934085fb0d,Dacia,Sandero Stepway 1.0 TCe 90cv Stepway Expression,16.990,15.490,13.930,2024,Gasolina,91,Manual,Segunda Mano,Berlina con portón,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/2iOBia15sGPdAKc8.jpg
https://www.autofer.com/coches/segunda-mano/madrid/renault/megane/gasolina/tce-74kw-100cv-tech-road-energy/1000597/,2964c3b4a94b0e4f57d275753701edc9,Renault,Mégane TCe 74kW 100 Tech Road Energy,14.990,13.490,38.560,2018,Gasolina,100,Manual,Segunda Mano,Berlina con portón,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/YujEFWKQvuKd10ZK.jpg
https://www.autofer.com/coches/segunda-mano/madrid/renault/megane/gasolina/tce-140cv-gpf-techno-fast-track/895637/,e3e12561e6f8a936b9fb61bf3f02fb4d,Renault,Mégane TCe 140cv GPF Techno Fast Track,20.890,18.490,51.000,2023,Gasolina,140,Manual,Segunda Mano,Berlina con portón,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/kV07CQz4YJ55VH7q.jpg
https://www.autofer.com/coches/segunda-mano/madrid/renault/arkana/gasolina/1-6-e-tech-145cv-rs-line/1058061/,3415f3738cb92cf1c1460dd16dc78532,Renault,Arkana 1.6 E-Tech 145cv RS ine,28.490,25.990,33.357,2022,Gasolina,145,Autoático,Segunda Mano,Todoterreno,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/vb6cvZIC2JVc3LBN.jpg
https://www.autofer.com/coches/segunda-mano/madrid/renault/clio/hibrido/1-6-e-tech-hibrido-140cv-zen/914544/,23625036959d42652ec41f6693954ae0,Renault,Clio 1.6 E-Tech Híbrido 140cv Zen,16.300,14.300,83.660,2020,Híbrido,140,Autoático,Segunda Mano,Berlina con portón,Delantera,5,--,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/800/827/K4kxkVBH0lmJCpVf.jpg
